Artist name,Stage,Day,Stage group,Start time,End time
ACID LOUNGE DJ'S,ACID LOUNGE,WEDNESDAY,SOUTH EAST CORNER,18:00:00,23:00:00
SITUATION DJS,NYC DOWNLOW,WEDNESDAY,SOUTH EAST CORNER,1:30:00,3:00:00
DIGS & WHOOSH,NYC DOWNLOW,WEDNESDAY,SOUTH EAST CORNER,0:00:00,1:30:00
HEAVENLY JUKEBOX,NYC DOWNLOW,WEDNESDAY,SOUTH EAST CORNER,22:00:00,0:00:00
PARTOK,NYC DOWNLOW,WEDNESDAY,SOUTH EAST CORNER,20:00:00,22:00:00
QUATERMASS,THE LONDON UNDERGROUND,WEDNESDAY,SOUTH EAST CORNER,1:30:00,3:00:00
MACPHERSON,THE LONDON UNDERGROUND,WEDNESDAY,SOUTH EAST CORNER,0:00:00,1:30:00
DJ LUCINDA,THE LONDON UNDERGROUND,WEDNESDAY,SOUTH EAST CORNER,22:30:00,0:00:00
MISS PINK,THE LONDON UNDERGROUND,WEDNESDAY,SOUTH EAST CORNER,21:30:00,22:30:00
SKARPER,THE LONDON UNDERGROUND,WEDNESDAY,SOUTH EAST CORNER,20:00:00,21:30:00
DAN CARTEL,THE DOWNLOW RADIO,WEDNESDAY,SOUTH EAST CORNER,0:30:00,3:00:00
NINEBOB,THE DOWNLOW RADIO,WEDNESDAY,SOUTH EAST CORNER,23:00:00,0:30:00
CHARLEY MCFARLEY,THE DOWNLOW RADIO,WEDNESDAY,SOUTH EAST CORNER,21:30:00,23:00:00
DOLLOP DJS,THE DOWNLOW RADIO,WEDNESDAY,SOUTH EAST CORNER,20:00:00,21:30:00
GUNS OF NAVARONE,THE ROCKET LOUNGE,WEDNESDAY,SOUTH EAST CORNER,21:45:00,23:00:00
MIK ARTISTIC,THE ROCKET LOUNGE,WEDNESDAY,SOUTH EAST CORNER,20:45:00,21:45:00
NEW YORK BRASS BAND,THE ROCKET LOUNGE,WEDNESDAY,SOUTH EAST CORNER,19:30:00,21:00:00
CATBALLOU,THE ROCKET LOUNGE,WEDNESDAY,SOUTH EAST CORNER,18:30:00,19:30:00
GAZ HOST UNPLUGGED NIGHT,THE ROCKET LOUNGE,WEDNESDAY,SOUTH EAST CORNER,18:00:00,18:30:00
TOBIAS JACOB,SMALL WORLD STAGE,WEDNESDAY,GREEN FIELDS,1:00:00,2:00:00
DE FUEGO,SMALL WORLD STAGE,WEDNESDAY,GREEN FIELDS,23:45:00,0:45:00
RUM BUFFALO,SMALL WORLD STAGE,WEDNESDAY,GREEN FIELDS,22:00:00,23:00:00
SEIZE THE DAY,SMALL WORLD STAGE,WEDNESDAY,GREEN FIELDS,20:00:00,21:30:00
RODNEY BRANNIGAN,SMALL WORLD STAGE,WEDNESDAY,GREEN FIELDS,18:30:00,19:30:00
CELESTE,SMALL WORLD STAGE,WEDNESDAY,GREEN FIELDS,17:15:00,18:15:00
TBA,SMALL WORLD STAGE,WEDNESDAY,GREEN FIELDS,16:00:00,17:00:00
AYLA SHAFER,SMALL WORLD STAGE,WEDNESDAY,GREEN FIELDS,14:40:00,15:40:00
OPEN MIC,SMALL WORLD STAGE,WEDNESDAY,GREEN FIELDS,13:30:00,14:30:00
SUSIE RO AND AYLA,TOAD HALL,WEDNESDAY,GREEN FIELDS,0:00:00,1:00:00
TELLING THE BEES,TOAD HALL,WEDNESDAY,GREEN FIELDS,22:00:00,23:00:00
SAM WALKER,TOAD HALL,WEDNESDAY,GREEN FIELDS,21:00:00,22:00:00
SOUK BAB EL LOUK,TOAD HALL,WEDNESDAY,GREEN FIELDS,20:00:00,21:00:00
GERARD AND THE WATCHMEN,TOAD HALL,WEDNESDAY,GREEN FIELDS,19:00:00,20:00:00
THE SEA KINGS,TOAD HALL,WEDNESDAY,GREEN FIELDS,18:00:00,19:00:00
TIM SNIDER,TOAD HALL,WEDNESDAY,GREEN FIELDS,17:00:00,18:00:00
SAM BATT,TOAD HALL,WEDNESDAY,GREEN FIELDS,16:00:00,17:00:00
JESS GOYDER,TOAD HALL,WEDNESDAY,GREEN FIELDS,15:00:00,16:00:00
UKELELE WORKSHOP,TOAD HALL,WEDNESDAY,GREEN FIELDS,14:00:00,15:00:00
